800,1895
2921,3955
3185,3893
2209,3318
1450,3185
1005,3185
2691,3185
2459,3185
411,3185
921,3408
921,3529
1085,3529
541,1456
1715,3241
2523,3185
574,1057
574,2225
1895,3185
1633,3185
2272,3185
3185,3640
2065,3730
1635,2065
2716,3393
1408,1701
1112,1958
786,3185
2451,3955
1408,3124
688,3185
718,3185
931,3185
1408,3379
2928,3502
2374,3185
2453,3185
2191,3185
1929,3185
1096,1884
1408,3179
3677,3955
541,574
309,574
921,2794
1761,3185
2034,3185
3185,3697
1408,1945
2455,2666
16,3185
2455,3955
1459,3185
418,3955
1044,3185
1408,3731
1408,2455
2716,3705
664,1112
745,2716
3185,3202
1000,1103
1844,3185
216,2455
1408,3557
2065,2366
26,2065
1661,3185
1112,3922
2117,3185
3185,3928
312,3185
3207,3942
3652,3955
3185,3257
1280,3185
1706,3185
921,3080
1045,3681
2065,2797
1793,2338
3026,3185
412,3955
776,3185
514,3185
1408,2378
989,3185
259,1228
352,2065
1408,3922
968,1408
3955,3969
217,3408
2716,3320
1408,2191
297,3185
1800,3185
2701,3936
2065,3725
1073,1112
1103,1112
5,574
1408,3064
718,2065
3011,3185
921,3955
1299,2716
2065,3659
2496,3185
478,3185
397,2065
3185,3369
3185,3261
1161,2716
544,574
3124,3185
1685,3185
1715,3185
1136,3185
921,3273
1085,1408
2481,3185
574,3955
2065,3111
1958,2985
1834,3955
574,3392
2624,3185
259,1408
868,2455
1408,1645
1408,1874
3185,3318
297,574
1664,3185
170,1408
3185,3681
1103,2902
1112,2065
1325,2065
921,2712
1408,2668
3185,3494
574,1408
1408,2131
339,1112
3185,3320
3185,3441
253,1408
921,2459
3408,3808
1304,2065
1072,1715
2602,3320
1085,2017
1085,3185
800,3955
3408,3955
2065,3586
2984,3185
921,1601
1715,1876
1124,1408
3178,3185
472,3185
1408,3785
1230,2732
574,1357
2188,3185
170,3185
304,3185
418,1715
921,2716
1715,2065
1408,3961
921,3213
1408,2806
3185,3753
921,1361
2924,3321
2065,2354
1456,3185
3895,3955
2716,3185
3185,3929
2065,2851
800,2065
1112,2905
418,1033
2065,3832
3185,3984
85,3185
574,2716
2797,3713
1015,3185
2393,2464
384,2284
427,2065
1066,2065
1112,1255
1103,1408
2065,3216
2716,3913
1408,2676
3185,3502
2320,3185
2065,3955
8,2065
539,1408
921,1715
1408,1684
2654,3288
1103,1960
2029,3185
753,2065
858,3592
668,3697
481,1740
574,921
574,3257
413,3955
921,1112
2676,3185
32,3955
574,3083
560,3185
1408,3659
3785,3955
3185,3438
3185,3680
162,1408
1112,3232
768,1715
75,3185
574,1273
3232,3955
418,3025
1103,3185
3185,3293
1408,2359
3136,3185
1230,2716
1705,2716
309,3955
574,2159
2214,3185
2378,3185
2359,3185
2065,2404
574,3369
339,1408
1715,2304
1367,1408
975,2065
769,2118
743,2065
1408,3650
309,2092
541,1408
309,1408
1045,1425
1895,2921
1112,2794
3696,3955
1895,2600
216,1140
2065,2582
3185,3552
38,3725
1740,3185
2065,2716
818,1408
1112,3696
1323,1408
2617,3955
577,921
914,3185
397,3955
2114,3185
574,1292
1583,3936
72,1552
2338,3185
339,3185
58,3185
1112,2851
2691,3409
729,913
2065,2531
948,3185
1161,3185
309,2272
946,1408
1112,3524
3185,3409
962,1715
1408,2851
1382,3185
2051,3185
2065,3083
745,1715
170,962
574,2075
309,2716
1152,2065
297,1551
1312,3185
1421,2081
1112,3955
1323,3185
1408,2464
2455,3185
574,962
1408,3524
729,3185
2716,3969
1408,1672
923,3185
921,3502
921,1408
2366,3185
2317,3185
1112,3581
2251,3207
1583,2640
1408,3955
2716,3111
1112,2105
810,3955
1704,3185
309,2531
2065,3503
1112,2602
162,3248
1408,2600
1025,3185
574,1219
309,921
1189,3185
1140,3185
1361,2716
1495,2716
2716,3408
608,1408
3185,3360
595,3185
1425,2716
1005,3712
1299,2065
3520,3955
2017,2065
1715,3955
