41,64,106,108,166,194
46,70,136,161,183,190
10,22,43,70,115,161
10,22,41,47,70,104
11,58,70,106,161,185
46,58,166,181,195,197
34,46,58,59,166,181
41,62,106,108,139,166
41,48,54,70,77,185
41,44,144,162,166,185
46,49,58,70,80,96,147
10,46,49,109,144,181,182
36,41,48,49,56,70,200
10,22,54,70,131,151,187
36,41,53,70,161,183,194
10,46,49,69,70,86,186
7,10,24,48,49,70,120
10,32,41,106,108,139,166
29,36,54,70,102,185,200
10,46,83,160,166,181,185
46,49,58,70,117,147,185
7,10,46,101,106,136,166
41,47,48,49,70,185,194
19,32,44,46,58,140,166
49,58,70,105,117,147,185
10,46,90,158,166,181,185
20,22,49,69,70,87,197
10,31,41,47,49,52,182
6,37,44,58,147,181,184
25,38,41,70,106,117,161
44,61,87,109,113,125,178
10,46,70,86,91,159,161
33,41,70,115,161,183,198
10,41,47,49,69,70,185
10,46,49,69,70,185,186
46,58,69,70,80,183,196
46,58,70,143,147,161,185
26,41,47,48,49,70,185
10,22,32,50,89,128,166
6,10,54,92,109,148,181
47,49,70,87,102,112,127
10,55,70,106,158,161,185
56,58,70,114,154,183,189
4,10,46,158,166,169,181
42,47,48,49,70,87,185
10,36,41,70,159,161,170
44,47,82,87,102,104,113
10,35,115,136,158,166,181
10,70,106,124,161,185,186
10,22,41,47,49,69,70
10,46,83,144,166,181,185
10,40,46,48,49,70,185
10,24,35,79,158,166,181
30,36,41,69,70,183,200
44,46,58,59,166,181,185
46,93,117,164,166,181,185
4,10,46,67,144,166,181
10,22,70,106,161,168,186
9,27,54,70,89,131,193
41,70,115,116,130,133,161
37,57,87,94,109,113,158
10,22,70,125,131,135,151
12,44,58,115,117,166,181
21,41,108,166,183,194,200
46,58,70,80,98,161,183
10,31,49,94,109,181,182
7,13,41,48,49,70,87
37,41,108,161,171,183,200
36,41,70,115,161,183,194
10,41,70,161,180,185,200
41,47,49,70,112,147,149
4,10,41,47,48,70,153
36,58,70,115,161,183,189
19,36,41,53,70,161,183
27,29,36,54,70,89,102
44,61,87,94,109,110,113
41,47,48,49,70,87,185
10,41,47,48,49,70,185
44,46,59,83,164,166,181,185
28,46,84,108,112,166,183,198
10,35,49,52,69,92,175,186
28,46,49,61,108,112,113,119
7,10,41,76,89,106,139,166
36,41,49,70,85,141,147,200
26,44,46,83,84,166,181,185
15,23,44,46,58,76,166,183
10,24,99,104,136,158,166,181
10,35,47,83,137,156,166,185
10,41,48,49,70,134,185,200
41,47,49,69,70,87,117,185
10,22,94,115,158,166,173,181
6,17,48,57,118,176,177,181
1,7,8,10,49,61,90,108
10,46,48,49,144,177,181,185
10,31,41,49,63,94,109,182
10,49,61,73,94,109,185,186
41,47,49,70,112,142,147,185
10,32,41,88,103,108,166,200
10,36,41,48,49,70,185,200
49,94,109,117,132,147,181,185
6,10,37,38,94,109,176,181
44,59,74,83,160,166,181,185
10,22,32,41,49,69,70,200
7,8,10,46,83,160,166,181
10,41,70,106,159,161,185,197
41,44,76,79,120,163,182,183
41,44,65,68,115,166,183,194
10,36,54,70,107,112,151,186
10,41,47,49,70,112,142,185
32,46,49,58,69,70,117,154
10,24,35,38,49,155,181,182
10,94,115,126,158,166,173,181
41,49,70,112,122,147,185,198
10,36,40,41,48,49,70,185
36,41,49,70,75,147,185,200
10,47,70,78,112,131,142,191
46,58,70,72,117,147,161,185
21,41,85,108,166,172,183,200
10,46,68,90,166,167,181,185
7,10,41,47,48,49,70,153
36,49,70,87,102,117,150,185
46,49,58,69,70,185,192,197
10,22,54,70,95,131,151,157
6,10,38,54,109,146,170,181
3,28,32,34,46,108,166,179
10,46,70,106,136,158,159,161
26,44,46,58,166,181,185,197
47,49,60,70,87,102,112,185
6,37,61,94,109,138,147,161
10,46,89,106,136,166,188,197
10,22,41,70,115,125,137,161
18,70,106,150,159,161,185,186
10,39,41,47,50,112,139,166
2,21,28,46,83,84,166,198
36,49,70,87,102,112,165,178
10,14,41,70,106,159,167,185
10,36,70,152,159,161,185,186
10,22,41,70,106,115,161,197
36,48,49,70,80,87,165,178
10,38,41,47,49,60,70,112
10,22,41,47,50,51,89,166
13,41,49,60,70,87,112,123
41,70,106,115,116,153,161,194
4,10,45,94,115,158,166,181
10,41,47,49,60,70,112,185
10,35,55,111,158,166,169,181
10,22,41,47,88,89,95,166
34,41,65,115,129,166,183,194
10,22,41,70,89,106,161,197
10,37,38,49,94,109,181,182
10,46,70,106,158,159,161,185
10,41,48,54,70,131,134,185,200
10,32,41,49,69,70,92,134,200
6,37,45,97,109,132,147,161,181
10,31,49,73,94,109,139,182,186
16,24,44,54,68,109,125,151,181
10,41,54,70,112,131,174,185,200
10,22,32,41,49,70,120,141,197
10,47,49,70,78,112,142,185,186
7,10,41,48,49,70,120,153,157
33,38,70,80,112,121,161,178,183
9,41,54,70,112,131,134,185,200
10,35,66,83,92,115,144,166,181
6,8,10,37,38,94,109,161,181
44,76,102,122,156,166,178,183,199
10,22,41,54,70,95,120,131,157
10,41,49,69,70,133,185,197,198
10,36,70,118,152,161,170,186,200
10,32,41,49,71,88,103,108,134
6,10,54,61,81,109,133,146,148
5,41,85,115,129,166,172,183,198
38,47,49,60,70,87,102,112,165
10,22,32,41,50,60,70,106,115
10,36,41,48,54,70,100,185,200
13,49,60,70,87,102,112,145,178
10,32,46,49,69,70,179,197,198
10,14,41,49,69,70,133,134,185,198
