231,435
6,35,231,276
6,28,231,435
6,35,153,231,276,325
1,6,28,54,91,325
1,6,120,153,274,435
1,6,45,136,210,276
6,28,45,120,231,435
105,231,276,325,378,435
6,78,153,190,231,325
15,45,171,210,253,496
1,55,153,190,276,378
6,28,45,120,153,190,231,435
66,105,136,171,210,325,435,496
36,55,105,157,189,231,325,378
6,15,28,66,91,205,230,276
1,45,105,136,210,338,377,496
15,91,210,253,341,377,435,496
15,45,66,171,210,253,351,449
6,28,120,190,231,276,351,460
1,6,15,28,91,120,190,231
10,21,55,78,136,253,351,495
1,21,39,91,153,190,231,325
1,6,55,78,136,300,351,496
1,6,15,45,66,136,210,276
35,171,210,300,351,406,443,495
3,10,78,136,191,325,378,496
1,6,28,54,91,231,325,496
1,6,78,210,253,300,306,496
1,6,28,66,120,153,274,435
1,35,55,153,190,276,378,435
6,15,45,105,171,210,253,496
6,15,36,120,153,190,378,496
1,6,15,45,66,120,300,372
10,21,23,153,231,325,435,496
9,21,78,171,210,300,351,435
6,35,55,153,231,276,325,496
1,6,78,96,119,190,276,496
1,36,55,105,175,231,276,325
1,15,28,66,120,190,406,456
1,28,66,91,210,300,451,495
10,36,78,155,189,231,435,496
6,28,78,105,153,190,231,325
78,105,190,231,276,325,378,435
6,15,28,91,153,190,300,347
15,28,77,117,231,276,325,378
6,36,55,78,171,253,300,383,434,496
1,21,55,78,105,136,210,253,351,383
15,28,45,91,253,273,325,378,435,496
15,45,66,91,120,153,190,276,378,464
36,55,78,105,190,231,276,325,378,435
1,6,15,45,66,136,210,225,276,378
15,45,66,153,209,253,300,351,406,465
6,15,28,45,78,136,171,231,325,496
1,6,15,28,66,91,120,153,231,459
1,27,45,66,190,231,276,325,435,496
1,35,55,74,120,153,190,231,325,435
28,66,105,136,171,210,266,325,435,496
1,9,21,36,55,78,124,152,276,378
1,6,28,78,136,171,210,300,406,465
6,45,66,105,136,171,184,276,325,378
1,15,45,66,91,120,171,210,253,300
1,6,66,91,120,170,210,300,351,496
20,36,78,84,153,190,231,276,378,496
21,36,39,120,153,231,276,325,378,496
15,28,45,66,91,120,153,190,351,496
28,45,66,120,190,300,351,406,429,496
6,28,66,105,136,210,300,351,364,435
6,15,28,45,135,210,300,351,394,434
1,20,36,65,120,153,231,378,435,496
15,45,66,120,170,210,300,351,406,495
6,15,105,136,253,300,351,406,419,496
6,15,36,55,105,136,210,253,300,385
1,15,45,119,153,231,276,325,378,435
6,45,66,91,120,210,253,295,324,496
3,10,55,78,136,137,190,231,276,325
6,55,64,120,153,190,231,378,435,496
1,15,28,45,91,120,210,253,300,378
36,55,73,120,153,190,325,378,435,496
10,21,23,120,153,231,276,325,435,496
1,6,28,54,78,171,241,275,325,378
1,6,15,45,136,189,231,276,435,496
10,21,36,55,78,94,153,231,378,435
15,45,66,136,171,210,253,300,351,449
1,15,45,66,153,231,349,377,435,496
21,45,66,120,153,231,276,378,435,496
21,55,105,136,171,210,253,327,377,435
1,21,36,55,136,171,194,230,378,496
1,6,15,91,120,209,253,351,398,496
3,10,36,55,136,154,189,276,325,496
1,6,15,66,91,231,325,378,435,496
1,6,15,45,135,171,247,275,435,496
1,6,36,55,105,136,171,210,276,378
1,6,15,45,66,120,153,276,377,435
6,15,45,66,105,210,223,276,378,435
1,28,45,91,120,153,190,321,378,496
6,15,28,45,120,153,190,231,376,435
1,21,39,66,91,153,190,231,325,496
1,21,36,55,78,153,190,231,276,378
15,45,66,91,136,210,253,291,324,378
1,6,45,120,153,231,276,351,406,460
1,6,35,55,153,190,276,378,435,496
1,6,78,96,119,153,190,276,325,496
1,28,54,105,152,190,276,325,378,496
1,15,36,55,78,105,197,325,378,435
1,36,55,78,105,175,231,276,325,435
6,28,54,78,105,153,190,231,325,435
2,10,36,78,155,189,231,325,435,496
15,28,91,153,209,253,300,371,435,496
1,6,15,28,54,78,105,210,253,435
1,6,28,66,120,153,274,378,435,496
6,15,28,77,117,231,276,325,378,496
3,21,36,78,152,190,231,276,325,496
1,6,15,55,78,136,300,351,434,496
21,25,45,66,91,153,190,231,276,325
15,28,77,105,136,171,210,288,324,496
6,15,91,171,210,253,341,377,435,496
1,6,28,54,91,231,325,378,435,496
1,28,45,66,120,190,231,325,435,496
1,9,21,36,78,105,210,300,329,377
6,15,28,66,105,133,152,190,435,496
1,6,45,105,136,210,253,338,377,496
6,20,78,105,171,210,253,259,435,496
6,15,45,120,153,190,300,321,435,496
1,6,21,78,136,210,300,305,378,496
1,15,45,66,91,170,208,230,378,496
9,21,78,171,210,300,351,355,435,496
1,28,45,105,136,171,231,325,378,496
10,21,55,136,171,210,253,300,406,495
2,10,21,55,78,105,190,276,378,435
1,10,21,36,78,136,210,256,325,435
1,53,65,91,153,190,276,378,435,496
3,10,55,105,136,171,253,300,351,379
15,28,45,66,91,210,275,325,435,496
1,6,60,91,153,190,231,325,435,496
1,6,15,45,66,91,120,300,372,496
2,36,47,153,190,231,325,378,435,496
15,28,45,66,104,171,253,300,378,435
21,55,78,105,136,175,325,378,435,496
3,10,36,78,105,121,152,276,325,435
1,15,45,66,120,209,253,300,320,378
1,28,66,91,120,231,299,406,465,489
1,6,15,45,91,210,253,300,377,435
1,6,15,45,66,153,190,231,435,496
1,6,28,66,91,210,300,351,451,495
1,28,45,91,120,231,300,406,465,488
21,36,55,78,105,157,189,231,325,378
1,15,45,66,91,190,231,276,406,433
6,15,28,66,91,205,230,276,378,435
28,45,66,91,253,294,324,378,435,496
6,36,90,120,190,231,276,325,378,496
