278,1172,1955,3101,3840,3914
169,186,494,1425,1939,3193
33,498,961,1990,3340,3632
316,1720,2003,2599,2811,3881
195,834,1133,1181,1765,2546
428,495,1723,1839,2640,2687
511,525,2397,2571,3696,3712
89,1175,1235,2302,2700,3277
174,932,1511,1765,3165,3563
433,1482,1600,2103,3072,3195
5,316,1172,1341,2393,3881
328,1014,1345,1512,2381,3407
1283,1649,1978,2151,2801,2886
5,89,2140,2572,2900,3995
101,295,566,2572,3083,3375
1102,1149,1226,2586,3475,3958
110,894,1355,2689,3230,3971
316,325,1235,2302,2415,2761
214,545,1250,1439,2413,2479
792,1538,2393,2732,2773,3304
447,834,932,1915,2866,3563
114,909,2149,2883,3356,3890
960,1909,1999,2849,2866,3995
324,325,657,1385,1452,3164
213,815,1688,2763,3649,3679
1163,1913,1969,2471,3170,3434
585,1235,1918,2168,2658,3393
42,1368,1415,1611,2393,2443
101,1143,1235,1340,2793,3046
447,1149,1914,2393,2902,3878
448,1896,2003,2811,2833,3198
23,417,1143,1172,2572,3046
310,764,982,1557,3528,3864
325,1538,1642,2900,3590,3642
1772,2118,2140,2893,3442,3878
606,1385,2833,2866,3482,3881
564,1516,1567,1891,2473,3949
967,1893,2088,2342,3693,3920
311,762,2075,2643,3073,3119
298,518,645,1481,2442,3390
592,1261,1293,1788,1946,1965
208,279,1284,2915,3187,3683
834,1642,1723,2118,2782,3442
566,777,1149,2661,2740,3482
447,1003,1914,2118,2415,2761
1411,1903,2127,2862,3386,3937
1538,1914,3046,3096,3873,3878
163,775,976,1865,2891,3345
1061,1449,1763,2458,3466,3897
42,1032,1723,2640,2671,2687
