8,9,33,65,73,91,137,140,183
8,31,33,53,65,91,137,140,183
8,33,53,65,73,91,137,140,183
8,9,31,65,73,91,137,140,183
8,9,31,33,65,73,91,137,183
8,31,33,65,73,91,137,140,183
8,9,31,33,53,73,91,137,183
8,9,33,53,73,91,137,140,183
8,9,31,33,53,65,137,140,183
8,31,33,53,65,73,91,137,183
8,9,31,33,65,73,91,137,140
8,9,31,33,53,91,137,140,183
8,9,31,33,53,73,91,137,140
8,9,31,33,73,91,137,140,183
8,31,33,53,65,73,91,137,140
9,31,53,65,73,91,137,140,183
9,31,33,53,73,91,137,140,183
9,33,53,65,73,91,137,140,183
8,9,31,33,53,65,91,137,183
9,31,33,53,65,73,91,140,183
9,31,33,65,73,91,137,140,183
8,9,33,53,65,73,91,140,183
8,9,31,33,53,65,73,140,183
8,9,31,33,53,65,91,137,140
8,9,31,53,73,91,137,140,183
8,9,31,53,65,73,91,140,183
8,9,33,53,65,91,137,140,183
9,31,33,53,65,91,137,140,183
8,9,53,65,73,91,137,140,183
9,31,33,53,65,73,91,137,183
8,9,31,33,65,91,137,140,183
8,9,33,53,65,73,91,137,183
8,9,31,33,65,73,91,140,183
8,9,31,33,53,65,73,91,183
8,9,31,33,53,73,91,140,183
8,9,31,33,53,65,73,91,137
8,9,31,33,53,65,73,137,183
9,31,33,53,65,73,91,137,140
8,31,33,53,65,73,91,140,183
9,31,33,53,65,73,137,140,183
8,9,33,53,65,73,91,137,140
8,9,31,33,53,65,73,91,140
8,9,31,33,65,73,137,140,183
8,9,31,53,65,73,91,137,183
8,31,53,65,73,91,137,140,183
8,9,31,33,53,65,73,137,140
8,9,31,53,65,91,137,140,183
31,33,53,65,73,91,137,140,183
8,9,31,33,53,73,137,140,183
8,9,33,53,65,73,137,140,183
8,31,33,53,65,73,137,140,183
8,9,31,53,65,73,91,137,140
8,31,33,53,73,91,137,140,183
8,9,31,33,53,65,91,140,183
8,9,31,53,65,73,137,140,183
