3,11,19,26
7,13,19,23
4,13,17,26
5,9,16,27
1,14,20,24
7,13,17,25
3,14,20,22
6,7,12,28
10,12,16,24
1,14,18,26
5,7,13,28
1,15,19,24
6,12,20,22
4,12,20,24
3,4,15,28
3,7,21,25
1,15,18,25
5,15,16,24
2,12,20,25
2,15,19,23
6,7,21,23
3,7,14,28
2,10,12,28
4,9,21,23
3,4,20,27
4,8,18,27
1,10,21,24
9,11,19,23
4,15,17,24
3,7,19,27
2,15,17,25
2,12,19,26
3,10,21,22
7,12,19,24
6,11,20,23
5,7,21,24
8,13,19,22
1,10,18,27
5,11,20,24
5,9,21,22
6,11,17,26
8,13,16,25
7,14,18,23
2,5,20,27
2,5,21,26
2,8,21,25
8,11,19,24
7,14,17,24
8,14,18,22
3,14,16,26
10,11,17,24
1,9,21,25
4,13,20,23
4,8,13,28
9,14,17,22
5,13,20,22
8,11,18,25
8,14,16,24
1,13,20,25
10,12,18,22
3,15,19,22
6,12,16,26
3,15,16,25
7,12,18,25
1,13,19,26
6,7,17,27
4,9,17,27
9,12,19,22
6,8,21,22
2,10,21,23
2,5,15,28
2,14,20,23
3,10,16,27
10,11,18,23
5,11,18,26
1,6,20,27
1,6,21,26
2,8,14,28
6,8,16,27
2,8,19,27
2,14,17,26
3,11,20,25
1,9,19,27
9,14,16,23
6,15,17,22
4,9,12,28
9,11,17,25
5,15,18,22
5,13,16,26
1,10,13,28
6,15,16,23
4,8,21,24
5,7,18,27
3,4,21,26
3,10,11,28
10,13,16,23
10,13,17,22
1,6,15,28
4,15,18,23
9,12,16,25
2,10,17,27
6,8,11,28
4,12,18,26
1,9,14,28
5,9,11,28
