7,9,14,18,28,29,36,37,42,47,51,56,57,62
2,12,15,19,21,24,25,30,35,37,40,42,50,60,63
3,6,9,12,18,21,32,36,37,42,47,49,56,59,61
4,6,13,18,23,27,32,33,39,42,43,48,52,54,61
3,6,9,15,21,28,30,36,37,43,46,50,51,56,61
3,5,12,14,20,22,25,31,34,40,43,45,51,53,60,62
2,8,13,19,21,28,30,31,33,38,42,43,48,52,55,57
2,5,9,16,19,22,26,31,35,38,44,45,52,53,57,62
2,3,8,15,20,21,25,30,38,41,44,50,55,59,61,64
1,8,11,19,21,30,31,36,38,42,45,48,50,55,57,60
2,3,5,12,15,20,25,30,33,40,42,54,55,59,61,64
1,6,12,15,20,23,25,30,40,42,43,45,49,54,60,63
3,6,10,13,18,21,25,32,36,39,41,48,51,54,60,63
4,5,10,11,17,24,28,29,35,38,45,48,50,55,57,62
6,7,10,11,16,18,19,29,33,36,46,47,53,56,57,60
2,7,11,14,17,22,28,31,33,40,42,45,52,55,59,62
2,8,11,14,19,22,28,31,35,37,42,47,52,55,57,62
8,10,11,13,18,23,25,32,33,38,39,44,52,53,59,62
1,8,11,14,19,21,26,31,36,42,45,49,54,55,59,64
2,7,9,12,14,19,22,29,32,35,38,47,49,56,58,59
2,7,12,13,19,22,26,32,35,37,40,41,49,60,62,63
1,4,6,7,10,11,13,24,30,48,50,51,53,57,60,63
4,6,10,15,18,19,29,32,33,40,43,45,55,57,60,62
2,8,11,13,23,25,28,30,38,41,44,47,50,51,53,64
4,6,7,10,11,18,19,29,32,33,45,48,53,56,59,62
5,8,10,11,18,19,25,32,36,38,41,47,49,56,59,62
1,4,10,13,16,18,21,24,25,38,39,43,51,60,62,63
1,6,12,15,20,21,27,30,35,37,41,46,50,56,60,61
3,6,12,13,18,24,25,30,33,39,43,48,52,53,58,63
3,6,9,12,17,24,26,31,33,39,46,52,54,59,61,64
4,6,10,11,13,17,23,32,33,39,44,46,51,56,58,61
1,4,14,15,19,22,25,28,34,39,43,45,49,52,58,64
3,8,12,13,18,21,27,30,34,37,41,48,51,54,58,61
4,10,13,16,17,22,23,27,34,35,40,41,47,53,60,62
4,7,16,17,24,26,27,29,35,38,41,44,47,50,53,64
1,6,12,15,19,21,24,25,30,36,39,42,50,59,61,64
2,7,12,13,20,22,25,32,36,37,41,48,49,56,58,63
1,4,7,10,11,22,29,32,37,41,44,46,50,51,56,63
1,7,12,13,19,22,25,31,34,35,41,48,53,56,60,62
5,8,9,14,18,19,28,31,34,35,44,45,49,56,59,62
2,3,8,14,15,21,27,32,39,41,44,49,52,54,58,63
1,4,6,7,13,16,19,26,31,34,43,53,56,57,60,62
2,5,12,14,15,20,22,23,25,35,40,42,50,59,61,64
1,8,14,15,20,26,27,29,32,34,35,37,44,54,55,57
1,8,12,13,19,22,25,32,36,37,42,48,49,56,59,62
4,5,9,14,15,19,22,26,32,35,40,42,50,55,60,61
2,8,9,15,19,21,28,30,33,36,39,46,50,59,61,64
1,6,7,13,16,21,24,26,27,36,37,41,49,60,62,63
2,7,12,13,19,30,31,33,36,43,46,50,53,56,57,60
1,8,11,19,26,29,32,36,37,41,46,47,49,54,55,59
4,6,7,11,17,26,29,32,33,40,42,47,52,55,59,62
4,11,13,16,17,22,23,26,33,38,42,47,52,53,59,64
3,5,8,10,17,23,27,30,38,41,44,47,52,53,58,64
3,5,9,20,26,27,32,34,40,44,46,47,49,54,55,61
6,7,9,12,17,24,27,30,34,35,45,48,52,54,55,57
2,3,8,9,14,15,20,23,27,29,37,44,49,54,58,64
4,10,11,13,16,18,19,21,24,25,30,33,38,39,60,63
1,7,10,18,21,25,30,36,38,43,45,48,51,56,60,63
2,3,5,8,12,15,25,30,33,42,43,52,54,55,61,64
1,7,13,20,22,26,27,32,37,40,41,44,46,50,51,63
1,4,10,15,19,22,25,32,35,38,41,48,50,55,59,61
5,8,10,11,18,23,29,32,34,35,41,48,49,52,59,62
4,5,11,14,18,23,25,32,33,40,42,47,51,53,60,62
3,6,10,15,17,24,27,30,33,39,44,45,51,54,57,63
3,6,9,12,18,21,24,27,33,36,42,47,51,57,60,62
4,5,11,14,19,22,29,32,34,35,45,48,52,53,58,63
5,8,10,18,23,27,29,32,34,35,41,46,47,49,56,60
3,8,12,14,20,21,25,31,34,37,41,48,49,55,60,62
1,4,7,11,14,19,22,25,32,35,38,41,48,50,55,59,62
2,3,5,8,9,12,14,17,23,27,29,33,47,52,54,58,64
3,8,10,13,18,21,27,32,36,38,39,41,48,51,56,58,61
3,8,12,13,17,20,23,27,30,34,39,43,46,51,53,58,64
5,8,10,15,18,19,28,29,33,36,38,39,43,45,53,57,64
2,5,11,16,19,24,26,29,35,40,41,44,46,49,52,54,63
5,8,12,14,15,18,19,25,32,34,39,43,48,49,54,60,61
4,5,11,16,17,22,23,26,29,35,41,44,46,50,53,56,63
2,8,11,14,17,20,22,23,26,29,36,37,42,47,50,59,64
1,4,6,7,13,19,21,26,32,37,42,43,48,49,52,55,62
1,6,7,12,13,20,25,30,31,35,40,42,47,50,53,59,64
1,4,10,13,16,22,23,27,34,37,40,43,51,57,60,62,63
2,7,9,12,17,24,26,31,33,36,46,47,50,51,53,57,60
1,8,12,13,20,22,23,25,32,35,37,42,47,49,56,60,62
6,7,9,16,21,24,28,30,31,36,37,43,46,50,51,61,64
1,7,10,11,13,19,22,25,32,36,38,41,48,49,56,58,63
4,7,10,11,16,19,22,25,31,33,38,45,50,53,56,60,62
2,7,12,14,19,22,25,31,35,38,41,47,52,53,58,59,64
1,8,10,22,27,29,32,34,35,37,41,44,47,49,52,55,62
2,7,12,14,19,22,25,31,33,36,38,42,45,50,55,59,64
1,8,12,14,15,20,23,27,32,34,37,43,48,51,54,58,61
2,3,16,20,21,25,30,31,36,38,39,42,43,45,49,56,60
2,8,9,12,15,20,21,30,35,37,42,48,49,54,55,59,61
2,5,11,16,17,20,30,31,35,40,41,46,47,54,55,60,61
1,4,6,15,23,26,27,32,34,37,40,43,46,49,52,54,61
1,4,7,13,16,22,26,27,40,43,46,50,51,53,57,60,63
1,6,10,15,20,23,25,30,34,35,37,41,46,49,56,60,63
1,6,10,15,18,19,24,28,29,36,37,43,46,54,55,57,64
1,8,10,11,18,23,29,32,34,37,41,44,46,51,54,58,63
4,10,11,13,16,17,22,28,31,38,39,41,44,51,58,61,64
2,5,11,16,19,24,26,29,33,36,39,42,45,54,57,60,63
2,3,12,13,21,24,26,31,33,36,38,39,42,48,50,59,62
2,7,11,14,17,24,28,29,37,40,41,44,47,51,54,58,64
4,6,7,9,16,17,24,26,31,37,40,42,43,50,51,57,64
2,7,9,16,19,24,28,29,35,37,40,42,47,50,55,57,62
1,6,7,10,11,16,20,21,30,31,35,40,45,50,55,57,60
2,8,11,13,19,21,25,28,30,36,38,39,42,48,49,56,63
1,4,6,7,11,13,16,24,26,40,44,46,50,51,53,57,63
1,7,12,13,18,21,27,32,36,38,42,43,48,49,55,60,61
4,5,9,16,18,19,24,30,31,34,35,40,45,49,54,55,60
3,10,13,16,24,25,28,30,31,36,38,39,41,50,53,59,64
4,6,7,13,16,17,24,30,31,33,40,42,43,54,55,57,60
2,3,13,16,20,21,26,31,37,40,41,46,47,51,54,60,61
12,14,15,18,19,21,24,25,33,38,39,43,45,48,52,58,63
3,6,10,13,16,24,25,28,30,40,41,44,46,50,51,53,63
5,8,10,11,19,22,25,28,31,39,41,44,46,50,59,61,64
2,3,13,16,17,24,26,31,40,41,44,46,47,50,53,59,64
1,6,12,13,18,23,25,32,36,39,41,48,49,56,60,62,63
6,7,9,16,17,20,30,31,33,36,42,47,50,51,53,57,64
2,7,11,13,16,19,21,26,35,38,42,50,56,57,60,62,63
9,15,17,20,22,26,27,29,32,34,35,37,40,44,46,55,57
3,8,10,13,18,23,28,30,33,39,44,46,51,53,56,57,63
8,10,11,13,17,20,23,30,36,38,39,41,48,51,56,58,61
1,6,7,12,18,19,29,32,34,35,37,41,46,47,49,56,60
2,3,5,8,15,23,25,28,30,38,39,41,48,52,53,58,63
2,3,8,14,15,20,21,25,32,38,39,44,45,49,56,58,63
2,5,9,16,19,24,28,29,33,40,42,43,45,50,55,57,64
4,5,11,14,18,19,24,28,31,33,40,44,47,52,53,57,62
2,3,13,16,17,20,22,23,26,33,39,44,46,50,53,59,64
2,11,13,20,22,23,25,32,33,40,42,47,50,51,53,60,62
2,3,12,13,20,21,26,27,32,33,40,42,47,50,51,60,61
