46,172
46,73,103,128
4,32,46,165
4,46,73,172
8,75,108,172
32,108,147,189,190
20,32,115,129,159
19,27,73,103,165
28,84,103,165,190
3,32,104,110,122
4,42,115,137,172
10,27,35,75,121
36,89,131,160,190
42,103,108,165,189,190
4,32,46,83,160,165
4,46,127,160,172,190
4,36,103,183,185,190
8,28,75,108,172,190
4,46,73,108,115,172
46,73,79,87,103,128
20,27,34,53,126,191
13,27,36,46,103,160
73,100,125,160,165,172
95,103,108,115,144,172,185
32,108,129,147,165,189,190
8,13,27,42,121,160,165
4,27,46,83,96,115,172
4,32,46,103,108,122,190
8,73,79,115,160,185,190
27,29,32,126,127,161,190
3,4,103,104,110,122,123
8,10,27,35,75,121,186
26,36,89,122,131,160,190
4,32,36,46,127,172,185
3,32,103,104,110,115,122
4,42,103,107,115,137,172
8,28,32,84,103,165,190
4,8,32,48,115,144,148
27,73,84,103,108,115,160
8,13,27,103,108,121,160
19,27,52,73,103,165,172
27,42,83,115,165,172,190
4,32,36,46,108,127,190
20,32,42,115,129,159,172
4,42,46,83,103,108,115,190
4,27,42,46,73,83,108,115
3,22,32,49,104,115,190,195
4,27,36,103,172,183,185,190
27,46,73,100,125,160,165,172
13,27,73,94,103,160,165,190
4,42,83,103,108,165,189,190
21,27,127,160,165,171,190,192
4,27,46,73,108,160,172,190
8,32,46,108,127,160,172,190
26,28,75,93,108,115,122,165
4,9,27,42,53,116,121,160
3,4,27,32,36,113,160,190
4,32,36,45,73,103,115,125
4,20,27,53,121,160,172,183
4,25,108,115,127,159,165,190
4,27,32,42,127,160,172,190
4,25,27,32,103,108,127,160
32,36,73,85,127,172,185,190
8,32,103,108,115,172,183,190
8,28,75,108,159,165,172,190
11,46,73,79,87,103,128,165
42,103,108,127,159,160,172,190
4,8,83,108,115,160,172,189
4,8,46,73,108,115,172,190
22,27,83,93,104,115,123,183
3,22,46,95,104,160,189,190
8,27,32,46,73,115,160,165
74,75,87,103,115,116,165,172
4,32,42,46,83,160,165,172
27,32,75,103,108,160,165,190
4,46,103,104,107,127,175,190
4,27,46,103,127,160,172,190
4,13,27,36,46,103,105,160
4,42,46,73,83,115,127,165
32,103,108,120,122,165,171,190
8,10,24,27,28,32,115,160
27,32,46,103,115,125,172,197
3,20,27,34,53,126,156,191
4,46,93,108,115,160,165,197
8,13,27,32,103,108,121,160,165
27,32,46,73,103,121,160,165,171
8,13,27,42,46,73,121,160,165
4,32,36,46,108,115,127,185,190
4,32,36,46,79,122,125,127,197
4,32,36,73,103,108,115,172,185
8,27,32,75,79,108,115,144,190
8,27,36,73,79,115,160,185,190
22,32,42,46,83,104,115,160,190
4,8,14,103,108,159,160,172,190
3,4,27,46,66,96,104,123,191
4,32,46,83,103,108,115,122,190
4,27,32,46,83,96,103,115,172
4,73,90,100,102,103,108,115,160
20,32,42,115,129,159,165,172,190
8,28,32,75,84,103,115,165,190
4,27,32,36,46,115,127,172,185
26,71,95,103,108,115,144,172,185
27,32,96,103,108,115,185,190,191
4,46,93,100,102,103,108,115,160
27,32,108,129,147,165,172,189,190
27,42,83,108,115,160,165,172,190
4,27,32,83,115,160,172,189,190
27,29,32,104,126,127,161,165,190
15,19,103,106,108,115,172,173,190
4,8,32,48,58,104,115,144,148
19,27,36,48,79,108,127,160,190
32,42,46,96,108,115,160,165,190
3,4,55,103,104,110,115,122,123
3,4,32,42,46,103,115,170,183
4,19,42,103,108,115,122,165,172
27,32,108,139,159,165,172,190,193
3,4,36,89,95,103,116,119,131
27,28,47,75,103,108,115,160,190
27,42,46,108,119,127,160,172,190
4,46,103,106,108,121,160,165,172
8,27,32,108,127,141,172,185,190
4,13,36,46,56,121,160,172,190
4,27,42,103,107,115,137,172,197
27,73,108,121,123,165,171,172,190
3,32,44,103,104,115,131,160,190
19,27,52,73,103,165,172,173,190
3,32,103,104,110,115,122,160,197
3,22,27,32,42,103,104,115,170
4,27,42,103,108,115,119,160,172
1,27,32,73,84,103,108,115,160
8,10,27,32,35,75,121,131,186
4,8,36,45,73,103,115,127,144
26,36,89,103,119,122,131,160,190
4,20,27,36,108,129,172,190,191
32,46,49,59,103,104,109,138,144,195
23,27,28,73,75,103,108,144,164,195
8,10,27,28,75,103,115,160,172,190
32,36,46,73,85,108,127,172,185,190
4,8,32,42,46,73,103,160,172,190
12,32,65,73,75,103,108,165,172,190
4,26,42,46,83,103,108,165,189,190
26,32,94,103,108,120,122,165,171,190
4,27,32,46,107,115,127,144,172,190
8,27,42,73,83,103,108,127,160,190
4,9,20,27,42,53,116,121,160,190
4,13,27,36,46,58,79,108,138,144
4,8,42,46,73,108,115,160,172,190
3,22,32,38,46,49,104,115,190,195
4,27,42,46,73,83,108,115,173,190
8,27,32,46,73,103,115,127,160,165
20,26,28,75,93,108,115,122,165,172
27,32,46,75,115,147,160,165,172,190
8,13,27,32,36,46,79,108,138,190
42,103,108,115,127,159,160,165,172,190
4,27,46,73,93,100,103,108,115,197
4,27,32,46,79,93,103,115,123,165
8,27,32,42,83,108,115,127,165,190
4,13,27,88,105,108,160,164,172,197
27,32,36,46,103,107,108,115,144,191
27,32,46,87,127,160,165,171,172,192
8,27,32,46,103,108,127,160,172,190
27,32,46,73,87,147,160,165,172,190
4,32,42,46,73,83,115,127,165,190
42,73,83,103,106,108,115,127,160,190
27,32,73,75,103,108,115,160,165,190
46,73,94,103,108,120,122,160,165,190
4,27,42,46,73,108,115,160,172,190
27,46,73,79,87,90,93,115,160,165
8,27,32,42,73,83,103,127,160,190
8,10,27,32,75,103,108,159,165,190
26,65,73,75,103,115,122,160,172,176
4,27,32,42,46,103,160,165,172,190
4,27,32,42,46,83,103,108,115,190
74,75,87,93,103,108,115,116,165,172
4,27,32,103,108,115,160,172,190,193
4,8,32,42,46,103,127,160,172,190
4,26,32,42,95,108,115,122,165,190
4,27,32,45,73,103,108,125,127,160
3,4,19,27,32,36,113,129,160,190
27,68,73,79,90,93,108,115,128,197
4,27,42,46,83,103,127,160,172,190
4,27,32,46,108,127,135,160,165,172
12,28,32,73,108,115,160,165,176,190
8,27,48,73,83,103,108,115,160,165
4,25,42,108,115,127,159,165,172,190
3,4,32,46,103,104,107,127,175,190
27,32,42,46,103,108,115,160,165,190
8,10,24,27,28,32,79,115,160,165
4,27,36,46,103,108,172,183,185,190
4,27,42,46,73,94,103,108,160,165
3,4,26,46,95,103,104,122,160,190
4,9,20,27,32,116,121,160,172,183
3,4,20,27,34,53,126,156,172,191
27,32,46,100,108,115,125,160,165,172
27,32,75,87,90,93,103,160,165,172
12,26,65,73,75,103,115,122,172,176
4,8,32,46,103,108,115,172,183,190
4,8,27,32,42,46,103,108,172,190
4,25,42,103,108,115,159,165,172,190
3,4,27,32,54,84,104,126,160,166
27,32,46,83,108,115,160,165,172,190
26,42,44,87,93,98,115,122,160,187
4,8,27,32,42,46,94,103,108,165
4,51,73,83,90,93,103,108,125,165
4,27,32,42,46,83,160,165,172,190
4,27,32,36,45,73,103,115,125,193
8,32,42,73,108,115,127,160,165,172
4,8,13,20,32,36,73,108,172,194
3,4,20,27,32,126,129,172,174,191
27,32,46,90,100,103,115,125,172,197
10,24,27,32,75,108,115,159,160,165
27,32,73,87,103,108,115,147,165,190
17,26,32,44,93,98,115,122,160,187
42,46,73,77,103,160,165,168,172,188
27,46,73,100,108,125,160,165,172,197
8,27,32,46,48,79,83,103,115,190
3,5,22,42,46,95,104,160,189,190
4,32,36,73,108,115,127,172,185,190
26,32,40,73,75,108,122,145,160,190
4,9,20,27,42,53,121,160,172,183
3,4,27,32,42,115,126,129,189,190
21,27,32,127,160,165,171,172,190,192
27,32,46,73,103,127,160,165,172,190
22,27,32,83,93,103,104,115,123,183
8,13,32,36,46,56,58,109,138,190
27,46,87,103,108,115,147,160,165,172
4,42,73,83,103,108,115,160,165,172
8,27,46,73,83,103,115,127,165,172
32,46,83,103,108,115,160,165,172,190
3,4,20,34,36,53,115,126,174,191
4,25,27,32,103,108,127,160,165,190
4,8,32,83,108,115,160,172,189,190
4,27,46,73,90,93,100,103,108,172
32,46,73,79,103,108,115,128,160,165
27,46,73,75,87,108,115,160,165,190
4,26,46,73,94,103,108,160,165,171
