22,28,38,74,103,130,144
22,35,52,81,112,137,151
17,24,41,78,103,112,138
24,46,51,75,103,141,143
4,24,54,74,84,98,151
4,25,35,38,56,112,118
16,28,42,75,129,146,161
28,47,74,103,112,138,170
4,28,42,68,103,114,138
28,42,70,98,103,112,138
4,16,28,59,74,84,103
28,47,74,103,112,138,160
18,25,39,75,103,112,135
24,34,46,79,121,143,153
4,22,51,57,74,84,150
22,28,30,44,81,89,103
4,16,63,74,84,103,159
17,24,38,89,98,103,171
24,34,43,75,101,103,121
4,28,68,74,98,103,158
4,19,24,74,84,124,163
4,28,38,74,118,120,158
4,28,38,74,103,130,168
5,24,66,84,98,103,151
16,28,69,74,103,127,146
16,42,59,75,103,143,171
16,22,28,40,89,138,161
11,14,21,81,103,121,127
28,38,74,88,98,112,170
12,24,28,43,84,103,130
4,24,51,74,84,130,154
4,19,24,74,88,97,128
16,38,65,89,98,103,171
4,28,38,74,103,130,158
22,28,38,74,98,103,167
23,28,38,74,103,112,130
24,28,38,74,103,137,159
4,19,24,74,84,124,130
4,28,74,84,103,130,158
11,28,38,74,103,113,167
12,16,28,82,84,103,112
4,28,45,74,103,130,158
4,24,28,74,84,103,113
19,24,74,79,105,112,139
6,8,46,103,121,128,170
16,42,71,103,125,137,148
4,15,22,74,84,124,130
4,9,28,89,98,103,112
11,21,28,74,84,103,117
4,24,56,74,84,112,151
1,16,22,89,95,119,130
22,28,67,74,98,103,138
4,9,28,87,93,129,131
8,22,28,42,103,112,130
3,24,28,74,88,112,130
24,28,48,75,103,133,142
11,21,28,74,92,120,130
4,15,22,81,90,112,120
22,28,81,112,137,142,149
4,16,42,98,126,138,162
4,24,42,75,114,132,154
4,18,20,74,81,103,114
4,21,28,38,42,103,130
18,24,39,75,103,114,121
24,39,42,75,103,148,166
24,28,69,74,103,127,146
12,28,30,89,98,103,112
8,22,28,84,98,112,126
4,28,38,74,98,103,168
4,28,38,74,98,103,145
4,16,22,112,118,135,138
22,28,67,81,89,103,137
24,46,74,103,129,137,151
22,28,42,67,98,103,138
22,28,67,87,98,105,138
17,24,71,98,103,127,135
16,27,39,75,103,121,143
4,9,42,103,114,121,168
4,16,63,74,84,103,151
4,16,25,75,97,103,125
4,25,64,96,104,135,156
22,24,36,83,103,109,135
18,24,41,79,103,139,163
4,19,26,93,102,124,131
28,37,46,89,103,138,160
22,39,67,109,137,141,149
28,40,57,74,103,159,167
5,19,24,74,97,105,130
4,24,54,74,84,130,151
3,49,63,77,79,151,160
4,16,51,74,98,138,162
4,24,56,63,74,84,155
1,17,63,95,124,141,152
4,42,58,80,103,130,165
5,17,24,84,94,124,130
4,15,22,75,84,103,112
22,28,67,81,89,95,103
4,16,28,89,103,138,159
16,28,46,75,89,103,125
4,42,58,103,114,135,145
16,25,39,75,103,112,135
4,16,51,74,84,98,162
4,19,24,88,97,124,131
28,38,47,74,103,112,130
7,24,28,72,98,103,112
1,8,12,96,102,121,127
16,22,28,39,42,61,75
4,42,45,103,114,121,168
4,21,28,38,74,103,109
28,69,74,98,103,145,167
16,28,46,73,75,103,159
5,24,55,86,107,132,166
16,28,39,42,75,103,113
18,41,53,79,116,139,164
28,40,74,103,112,138,147
16,42,71,75,97,103,125
22,42,57,97,103,135,167
4,17,26,74,81,103,112
22,42,44,81,103,121,167
4,9,51,74,98,103,168
4,19,24,63,74,95,124
4,24,51,74,84,103,163
24,28,38,74,120,130,146
11,21,28,38,74,103,109
1,16,22,81,83,110,112
16,28,69,74,98,103,138
4,17,38,52,74,130,162
16,22,28,37,74,103,129
22,28,67,74,97,103,137
28,33,89,98,103,112,138
4,28,38,42,103,130,145
4,13,22,74,84,105,114
2,19,24,74,84,124,130
28,30,45,69,74,103,146
4,28,42,59,103,127,145
4,19,26,74,84,98,154
12,16,28,74,84,103,113
4,24,38,55,74,103,151
24,28,93,103,129,137,148
4,24,63,74,103,138,151
9,23,42,81,103,127,151
12,16,28,69,89,103,137
4,24,51,74,84,98,154
24,41,59,95,105,119,136
5,24,29,74,97,105,130
8,28,39,89,103,112,170
8,28,39,74,103,112,170
16,25,40,89,103,112,137
4,9,28,89,98,103,168
4,24,28,74,84,103,159
4,17,38,52,74,98,162
16,28,42,75,103,129,146
4,20,42,75,97,103,121
5,19,36,84,91,105,161
24,42,69,75,103,121,148
4,16,22,51,138,161,165
16,28,69,90,95,119,159
1,16,22,89,98,103,112
4,24,28,38,74,103,113
22,24,39,42,103,121,127
4,16,28,42,103,113,138
16,28,46,75,89,103,159
16,28,42,69,83,103,159
10,28,42,49,75,153,169
10,24,42,69,75,103,121
22,42,67,81,103,121,157
10,24,28,74,88,98,112
16,42,69,75,97,103,135
4,17,27,38,74,103,109
16,42,66,75,97,103,165
4,42,68,103,114,121,138
3,28,42,53,59,75,157
39,52,58,135,138,153,163
4,24,55,74,84,103,117
22,38,42,57,103,121,140
4,18,63,85,94,123,161
4,28,42,58,98,103,145
22,28,30,42,81,103,144
28,70,89,98,112,138,149
28,47,69,74,103,138,160
4,24,38,74,103,113,151
4,14,21,38,74,103,117
12,16,28,43,69,103,127
8,22,28,89,103,112,130
5,24,63,74,84,103,155
24,28,46,74,95,103,130
9,42,47,103,121,127,169
4,28,74,103,112,138,160
10,16,28,42,75,103,169
28,33,38,74,98,103,112
1,16,34,89,98,103,112
24,38,65,89,98,103,171
12,33,54,79,85,115,143
22,28,44,74,103,130,138
24,28,38,74,98,103,169
24,55,71,75,103,146,151
4,25,74,84,98,152,154
16,22,39,89,115,123,165
4,18,24,38,103,114,121
4,24,59,74,84,103,155
4,21,28,74,98,103,138
22,28,42,67,81,103,144
24,28,48,103,129,137,146
3,24,42,75,103,114,121
10,24,34,66,84,98,103
4,28,38,74,103,112,160
16,39,42,75,103,163,166
28,39,60,75,116,143,153
4,19,24,63,74,84,124
4,19,62,74,84,130,154
16,59,65,75,103,148,169
10,16,69,75,89,103,171
42,44,59,103,121,148,170
4,16,28,89,103,113,138
16,22,42,75,103,133,136
28,39,42,60,75,103,112
10,24,66,103,137,142,171
28,38,70,89,98,103,112
4,28,58,74,79,118,120
