2,10,21,36,55,78,105,136,210,253,300,351,435,496
2,10,21,36,55,78,105,136,171,210,253,351,435,496
2,10,36,55,78,105,136,171,210,253,300,351,353,496
2,10,21,36,55,78,105,136,210,253,300,351,353,435
2,10,21,36,55,78,105,136,171,210,253,351,353,435
10,21,36,55,78,105,136,171,210,253,300,351,353,496
2,10,21,55,78,105,136,171,210,253,300,351,353,496
2,10,21,36,55,105,136,210,253,300,351,353,435,496
10,21,36,55,78,105,136,210,253,300,351,353,435,496
2,36,55,78,105,136,171,210,253,300,351,353,435,496
2,10,21,36,55,78,136,171,210,253,300,353,435,496
2,21,36,55,78,105,136,171,210,253,351,353,435,496
2,10,21,36,55,78,105,136,171,210,253,300,351,496
2,10,21,36,55,78,105,136,171,210,253,353,435,496
2,10,21,55,78,105,136,171,210,300,351,353,435,496
2,10,21,36,78,105,136,210,253,300,351,353,435,496
2,10,36,55,78,105,136,171,253,300,351,353,435,496
2,10,21,36,55,136,171,210,253,300,351,353,435,496
2,10,36,55,105,136,171,210,253,300,351,353,435,496
2,10,21,36,55,78,105,171,253,300,351,353,435,496
10,21,55,78,105,136,171,210,253,300,351,353,435,496
2,21,36,55,78,136,171,210,253,300,351,353,435,496
10,21,36,55,78,105,136,171,253,300,351,353,435,496
2,10,36,55,78,105,136,171,210,300,351,353,435,496
2,10,21,36,55,78,105,136,171,210,300,351,353,496
10,21,36,55,78,136,171,210,253,300,351,353,435,496
2,10,21,36,55,78,105,136,171,253,300,351,435,496
2,10,21,36,55,105,136,171,210,253,300,351,435,496
2,21,36,55,78,105,136,171,210,253,300,353,435,496
2,10,21,36,55,78,105,136,210,253,300,351,353,496
2,10,21,36,55,78,105,136,171,210,253,351,353,496
2,10,21,36,78,105,136,171,210,300,351,353,435,496
2,10,21,36,55,78,171,210,253,300,351,353,435,496
2,10,21,36,78,105,136,171,210,253,300,351,435,496
2,10,21,55,78,136,171,210,253,300,351,353,435,496
2,10,21,36,55,105,136,171,210,300,351,353,435,496
2,10,21,36,55,78,105,136,171,300,351,353,435,496
2,21,36,55,78,105,136,210,253,300,351,353,435,496
2,21,55,78,105,136,171,210,253,300,351,353,435,496
2,10,21,36,55,78,105,136,171,253,300,351,353,435
2,10,21,36,55,105,136,171,210,253,300,351,353,435
2,10,21,36,55,78,136,171,253,300,351,353,435,496
2,10,21,36,55,78,105,136,210,253,351,353,435,496
2,10,21,36,78,105,136,171,210,253,351,353,435,496
2,10,21,55,78,105,136,171,210,253,300,353,435,496
2,10,21,36,55,105,171,210,253,300,351,353,435,496
