21,33,62,65,71,73,137,178,198
25,65,73,86,91,101,138,139,196
62,65,71,73,83,90,95,137,198
9,11,31,33,55,65,81,90,91,130
31,33,65,72,76,90,91,95,137,198
33,62,71,73,91,95,136,137,193,198
1,28,29,33,65,71,73,90,141,154
9,33,60,65,73,82,90,137,154,198
9,15,28,33,73,132,154,192,193,198
2,21,33,62,73,91,108,111,137,198
9,28,33,60,65,73,132,154,180,198
8,9,31,33,53,65,73,91,137,140,183
1,33,56,62,65,71,73,90,91,93,198
25,33,52,65,66,72,91,95,129,137,198
19,33,62,65,72,90,98,137,165,182,198
62,65,70,90,91,137,138,139,151,196,198
9,11,28,33,36,65,90,154,165,182,198
33,62,65,72,90,91,95,137,151,165,198
3,33,55,71,73,90,91,95,137,176,193
21,33,62,65,69,71,73,91,137,149,198
1,33,56,62,65,71,73,91,95,192,198
22,33,42,55,62,63,65,71,73,95,137
9,13,31,42,65,73,137,139,150,154,198
1,11,31,33,62,65,72,90,91,95,198
2,31,33,65,73,90,91,94,137,188,198
33,62,72,80,91,95,108,132,193,197,198
9,31,41,42,55,65,73,84,90,91,139
1,33,56,62,65,71,73,90,91,95,198
31,62,65,73,90,125,137,139,150,163,198
21,38,39,62,65,71,137,142,173,196,198
41,55,62,71,73,78,135,138,139,164,196
19,28,33,35,65,71,80,127,141,198,200
31,33,62,65,72,90,91,95,137,165,198
31,33,62,65,72,91,95,108,132,137,198
9,19,33,42,65,90,91,93,113,165,198
27,33,50,55,62,65,71,73,91,95,145
3,16,28,33,45,55,71,73,115,144,154
8,33,42,62,65,71,73,91,95,137,183
31,65,68,72,90,91,95,137,146,165,198
9,31,33,42,73,90,131,137,154,193,198
19,55,62,65,71,90,91,103,137,139,196
9,11,28,31,33,65,73,90,93,154,198
1,33,62,65,71,73,80,90,91,95,198
25,31,33,65,72,91,95,126,129,137,198
4,33,41,55,65,71,73,91,95,126,145
9,11,28,31,33,55,65,73,90,107,154
9,31,33,42,65,73,91,108,126,137,198
19,20,62,72,78,90,97,143,156,196,198
19,38,42,62,65,71,91,137,139,196,198
1,33,62,65,71,73,80,91,95,145,198
33,42,56,62,65,71,91,95,129,177,198
33,62,65,71,80,91,95,145,165,198,200
33,42,62,71,73,90,95,115,193,198,199
21,39,62,65,71,73,91,134,138,196,198
31,43,48,62,73,86,90,91,139,169,196
33,65,66,71,90,91,95,100,137,165,198
33,62,65,69,71,73,90,91,137,149,198
9,31,33,44,65,68,90,91,137,165,198
19,31,62,65,72,90,91,105,125,137,198
1,33,56,62,65,71,73,90,91,141,198
9,19,28,31,54,65,106,139,165,192,198
62,71,73,78,120,123,124,139,183,190,196
9,11,16,28,33,73,115,154,170,193,198
6,22,33,55,62,65,71,73,90,91,95,137
33,42,62,71,73,90,95,96,121,137,193,198
8,33,42,62,65,71,73,90,91,95,137,188
2,6,9,33,53,65,73,90,107,128,137,154
8,18,31,33,40,62,65,72,86,90,91,175
33,58,62,65,66,73,90,91,95,137,188,198
33,42,62,71,90,91,96,137,152,165,193,198
31,33,62,65,72,91,95,129,132,137,165,198
65,66,71,73,79,91,95,118,138,139,145,198
6,33,45,55,62,65,71,73,90,95,122,137
9,11,28,31,33,41,55,65,73,74,90,107
1,8,33,35,40,61,62,65,71,90,91,95
1,31,33,35,62,65,72,90,91,95,175,198
33,34,42,62,65,66,71,73,90,91,137,198
33,42,60,62,65,71,73,90,95,137,188,198
9,31,33,73,91,104,123,145,148,162,193,198
14,31,33,40,62,65,72,86,90,122,165,175
19,35,62,65,71,90,91,137,139,168,184,196
5,9,16,19,20,31,33,47,53,91,115,162
1,11,31,33,62,65,73,90,91,95,185,198
42,62,65,71,73,90,91,137,139,184,196,198
22,33,42,55,62,65,71,73,90,91,95,137
16,33,67,71,91,95,145,148,160,162,198,200
39,62,65,72,80,88,91,132,138,196,198,200
19,30,33,48,65,69,72,76,90,91,137,198
8,9,31,33,53,65,73,90,91,137,176,188
33,42,62,65,66,71,91,95,129,137,165,198
26,35,62,65,71,80,91,95,139,145,198,200
8,41,42,61,65,71,90,91,95,138,139,186
33,62,71,73,89,90,95,124,137,188,193,198
33,41,42,55,56,62,65,71,73,90,91,95
19,33,42,62,65,69,71,90,91,137,165,198
17,42,46,62,65,71,73,80,139,141,196,198
8,33,40,62,71,91,95,129,137,160,193,194
20,31,33,35,62,72,90,91,95,137,193,198
8,33,40,59,62,72,86,91,117,132,183,193
33,42,62,65,66,71,90,91,95,137,165,198
33,42,55,62,65,69,71,73,90,91,135,137
19,24,62,71,90,91,120,138,158,159,196,198
1,17,33,56,60,62,65,71,73,90,141,198
9,19,31,33,42,65,81,90,91,137,188,198
39,42,62,65,71,73,90,91,137,138,196,198
39,42,55,62,65,71,73,90,137,138,171,196
2,31,33,44,62,65,72,90,91,137,165,198
21,32,34,39,62,65,66,71,73,137,138,198
41,42,55,62,65,71,73,90,92,95,138,139
19,31,33,35,48,62,65,72,90,91,137,198
62,66,71,90,91,120,137,139,159,179,189,198
42,62,65,71,73,90,91,137,138,139,196,198
1,33,60,62,65,71,73,80,90,95,112,198
33,35,62,71,90,91,95,137,159,189,193,198
8,31,33,40,53,62,65,72,90,91,95,137
33,62,71,89,90,91,95,137,160,165,193,198
37,42,62,65,66,71,73,90,91,95,139,198
6,33,45,55,62,65,71,73,90,91,95,137
1,23,33,56,60,62,65,71,73,90,95,198
57,62,71,73,80,90,91,138,139,156,196,198
33,35,62,66,71,91,95,137,153,188,189,198
1,8,31,33,40,62,65,72,86,90,91,175
33,35,62,65,66,71,90,91,95,137,188,198
31,33,62,72,89,90,91,95,119,137,165,198
9,11,28,31,33,65,90,93,116,154,165,198
42,62,65,71,73,90,137,138,139,150,196,198
1,33,56,62,71,73,90,96,123,147,162,198
62,71,73,80,90,91,95,138,139,156,174,198
1,8,31,33,48,62,65,73,86,90,91,169
9,19,42,65,91,105,137,138,139,191,196,198
39,42,62,65,71,73,90,137,138,173,196,198
33,42,71,75,91,96,126,129,137,152,165,198
2,8,9,31,53,65,73,90,91,110,137,188
16,31,33,62,73,87,90,91,95,162,193,198
24,62,71,73,90,91,120,137,138,193,196,198
2,9,31,33,42,65,73,90,91,137,188,198
33,49,60,62,65,71,90,95,98,137,165,198
12,55,62,65,71,73,90,135,137,138,139,196
