1,6,7,10,11,13,16,18,19,21,24,25,28,30,34,35,37,40,41,44,46,47,49,52,54,55,58,59,61,64
1,4,6,7,10,11,13,16,18,19,21,24,25,28,30,31,35,37,40,41,44,46,47,49,52,54,55,58,59,64
4,6,7,10,11,13,16,18,19,21,24,25,28,30,31,34,35,37,40,41,44,46,47,49,52,54,55,58,61,64
4,6,7,10,11,13,16,18,19,21,24,25,28,30,31,34,37,40,41,44,46,47,49,52,54,55,58,59,61,64
1,4,6,7,10,11,13,16,18,19,21,24,25,28,31,34,35,37,40,44,46,47,49,52,54,55,58,59,61,64
1,4,6,7,10,11,13,16,18,19,21,24,25,28,30,34,35,37,40,41,44,46,47,52,54,55,58,59,61,64
1,4,7,10,11,13,16,18,19,21,24,25,28,30,31,34,37,40,41,44,46,47,49,52,54,55,58,59,61,64
1,4,6,7,10,11,13,16,18,19,21,24,28,30,31,35,37,40,41,44,46,47,49,52,54,55,58,59,61,64
1,4,6,7,10,11,13,16,18,19,21,24,25,28,30,31,34,35,37,40,41,44,46,49,52,54,55,58,59,61
1,4,6,10,11,13,16,18,19,21,24,25,28,30,31,34,35,37,41,44,46,47,49,52,54,55,58,59,61,64
1,6,7,11,13,16,18,19,21,24,25,28,30,31,34,35,37,40,41,44,46,47,49,52,54,55,58,59,61,64
1,4,6,7,10,11,13,16,18,19,21,24,25,28,30,31,34,35,37,40,41,44,46,47,54,55,58,59,61,64
1,4,6,7,10,11,13,16,18,19,21,24,25,28,31,34,35,37,40,41,44,47,49,52,54,55,58,59,61,64
1,4,6,7,10,11,13,16,18,19,24,25,28,30,31,34,35,37,41,44,46,47,49,52,54,55,58,59,61,64
1,6,7,10,11,13,16,18,19,21,24,25,28,30,31,34,35,37,41,44,46,47,49,52,54,55,58,59,61,64
1,4,6,7,10,11,13,16,18,19,21,24,25,28,30,31,34,35,37,40,41,44,47,49,52,54,55,58,59,61
1,4,6,7,11,13,16,18,19,21,24,25,28,30,31,34,35,37,40,44,46,47,49,52,54,55,58,59,61,64
1,6,7,10,11,13,16,18,19,21,24,25,28,30,31,34,35,37,40,41,44,46,47,49,52,54,55,59,61,64
