4,46,73,90,93,100,102,103,108,115,160,172,197
8,27,32,46,73,75,103,108,115,147,160,165,172,190
4,8,13,27,32,42,46,73,94,103,108,160,165,190
4,25,27,32,42,103,108,115,127,159,160,165,172,190
27,32,74,75,87,90,93,103,108,115,116,160,165,172
4,26,32,46,73,94,103,108,120,122,160,165,171,190
4,19,27,68,73,79,90,93,103,108,115,128,160,197
4,27,46,51,73,83,90,93,103,108,125,160,165,172
4,8,13,20,27,32,36,53,73,108,121,172,190,194
4,13,27,36,46,73,88,103,105,108,160,164,172,197
3,4,9,20,27,32,42,53,116,121,160,172,183,190
21,27,32,46,87,103,108,127,160,165,171,172,190,192
8,10,27,28,32,75,103,108,115,159,160,165,172,190
4,8,27,32,46,73,103,108,127,135,160,165,172,190
16,23,27,28,36,73,75,103,108,115,144,164,190,195
27,32,46,73,75,87,103,108,115,147,160,165,172,190
4,8,27,32,36,46,103,108,115,160,172,183,185,190
4,27,32,42,46,83,103,108,115,151,160,172,183,190
3,4,22,27,46,66,96,103,104,115,123,160,170,190,191
4,8,13,27,32,36,46,56,103,108,121,160,172,183,190
4,26,32,42,46,73,83,103,108,115,122,160,165,172,190
4,26,46,73,94,103,106,108,120,158,160,165,171,173,190
4,27,32,36,46,73,96,103,108,115,160,172,185,190,191
4,8,27,32,36,46,73,103,108,115,127,160,172,185,190
4,19,26,32,42,48,63,73,83,108,115,122,160,165,190
4,27,42,46,83,103,106,108,115,119,127,160,165,172,190
4,19,32,42,73,78,93,103,108,115,122,160,165,172,197
8,10,27,28,32,35,75,103,108,121,131,160,172,186,190
3,4,26,36,89,95,103,116,119,122,131,149,160,172,190
8,27,28,32,73,75,84,103,108,115,160,165,172,176,190
4,8,13,27,42,46,103,108,157,160,165,172,184,189,190
3,4,22,27,32,42,46,83,103,104,115,160,170,183,190
8,27,32,46,73,75,86,108,115,147,160,161,165,172,190
4,27,32,46,73,103,108,121,123,127,160,165,171,172,190
8,27,28,47,73,75,103,108,115,159,160,164,172,176,190
4,8,27,32,46,83,103,104,115,160,165,172,180,189,190
4,8,15,27,42,46,73,83,103,107,108,115,165,172,190
8,20,27,28,32,73,75,84,108,115,160,161,165,172,190
4,8,27,32,36,45,73,79,92,103,108,115,125,127,144
8,17,27,32,46,73,79,83,103,108,115,127,160,165,190
10,27,32,37,46,75,108,115,129,147,160,165,172,189,190
3,4,22,27,32,36,103,115,131,145,156,160,166,190,193
4,8,19,27,32,36,73,76,79,103,108,115,160,185,190
4,27,46,73,90,91,93,103,106,108,121,160,165,172,197
4,8,27,32,46,73,103,108,115,127,141,160,172,185,190
3,22,27,32,42,44,103,104,115,131,139,160,170,183,190
4,8,13,27,32,46,48,79,103,108,121,138,160,165,190
20,26,61,75,84,95,97,108,115,117,154,160,165,172,190
4,8,13,27,32,42,46,73,103,108,121,160,165,172,190
8,27,28,32,48,73,75,79,101,103,108,115,144,146,190
4,8,27,32,36,46,79,103,108,115,130,160,183,185,190
8,19,27,36,39,48,73,79,103,108,127,139,159,160,190
4,32,36,43,46,58,79,103,108,115,122,125,127,144,197
3,4,32,46,55,103,104,110,115,122,123,160,170,191,197
4,26,32,46,67,79,83,95,103,108,115,122,160,165,190
4,19,20,27,32,36,53,73,108,115,129,160,172,190,191
4,27,32,42,46,73,83,96,103,108,115,160,165,172,190
4,27,32,46,73,83,103,108,115,123,127,160,165,172,190
3,4,19,20,27,32,36,53,115,126,129,160,172,190,191
4,8,13,27,32,36,46,73,85,103,108,144,152,172,190
1,8,27,28,32,36,73,75,84,103,108,115,160,172,190
26,32,36,46,58,71,75,95,100,103,108,115,144,172,185
8,22,27,29,32,44,104,115,126,127,139,160,161,165,190
4,8,13,27,32,46,69,73,79,85,103,108,152,165,190
8,10,24,27,28,32,48,75,79,103,108,115,159,160,165,190
4,27,32,36,38,46,73,103,107,108,115,128,144,190,191,195
20,26,28,32,65,73,75,93,100,108,115,122,160,165,172,178
3,4,20,27,32,34,36,53,115,126,129,156,160,172,174,191
4,19,26,32,73,103,108,121,122,145,160,165,171,172,179,190
26,28,32,40,65,73,75,103,108,115,122,145,160,165,172,190
4,27,42,46,73,83,103,106,108,115,127,160,165,172,173,190
4,26,32,42,46,83,95,103,108,115,122,160,165,172,189,190
4,27,46,73,90,100,103,105,108,115,124,125,160,165,172,197
3,4,27,32,42,104,115,126,127,129,131,160,172,181,189,190
4,27,32,46,48,73,79,83,103,108,115,127,128,160,165,190
11,27,32,46,73,75,79,87,90,93,103,108,115,128,160,165
3,4,22,27,32,54,84,104,115,126,131,160,166,170,189,190
4,26,32,36,73,103,108,112,121,122,125,144,145,172,179,191
3,4,22,27,32,46,83,90,93,103,104,115,123,160,163,183
4,14,19,27,42,70,73,103,108,115,125,127,160,165,172,197
22,27,32,44,90,93,98,99,103,104,115,123,160,165,189,197
27,28,30,42,73,83,103,106,108,115,127,139,160,165,172,190
4,8,27,32,42,46,83,103,108,115,127,160,165,172,189,190
12,26,28,32,65,73,75,103,108,115,122,160,165,172,176,190
4,19,20,27,32,83,90,93,108,116,160,165,172,189,193,198
20,28,32,36,38,73,101,108,115,122,139,142,144,145,172,190
4,27,32,46,73,90,100,103,108,115,124,125,160,165,172,197
4,27,32,46,79,90,93,103,108,115,123,160,162,165,189,197
4,27,32,46,73,90,93,100,103,108,115,125,160,165,172,197
3,4,5,22,26,32,42,46,95,103,104,115,122,160,189,190
4,27,32,46,55,73,90,103,108,115,123,127,160,165,172,197
3,4,27,42,46,83,103,104,115,119,149,160,170,172,183,190
4,8,27,32,42,46,73,83,103,108,115,127,160,165,172,190
17,22,26,32,42,44,87,93,98,103,104,115,122,160,165,187
4,14,27,32,36,45,73,79,103,108,115,125,127,160,193,197
4,8,27,42,46,73,83,103,108,115,127,157,160,165,172,190
4,19,20,42,73,83,106,108,115,117,129,136,160,165,172,190
3,4,19,20,27,32,36,79,113,115,126,129,130,159,160,190
4,19,20,26,32,42,83,95,108,115,122,160,165,167,172,190
4,19,20,27,42,108,115,116,129,143,159,160,165,172,189,190
7,8,27,28,73,75,103,108,115,157,159,160,164,165,172,190
4,8,27,46,73,79,103,108,115,127,133,157,160,164,165,190
4,27,36,46,73,101,103,108,115,134,144,157,164,168,172,190
28,32,40,42,73,96,103,108,115,122,139,160,165,172,177,190
4,8,27,32,46,48,73,79,83,103,108,115,127,160,165,190
8,27,75,103,108,115,116,154,157,160,164,165,172,176,189,190
26,28,32,65,73,75,103,108,115,122,145,160,165,172,176,190
4,13,26,42,46,73,77,93,103,108,125,160,165,168,172,188
4,14,27,32,36,103,108,115,131,145,160,166,172,183,190,193
1,8,20,27,28,73,75,84,108,115,150,157,160,172,176,190
3,4,27,32,42,46,93,103,104,115,160,169,170,172,183,197
3,4,22,32,46,64,93,95,103,104,115,122,160,170,191,197
3,4,22,27,32,38,42,46,49,103,104,107,115,144,190,195
4,8,14,18,19,20,32,42,73,108,122,127,160,165,172,190
3,4,19,27,31,32,83,103,104,115,145,160,170,172,183,190
4,8,27,46,73,83,103,108,115,127,157,160,164,165,172,190
3,4,27,32,46,58,83,103,104,107,115,127,144,172,175,190
4,8,13,27,32,36,46,56,58,79,103,108,109,138,144,190
8,27,28,32,42,73,83,103,108,115,127,139,159,160,165,172,190
4,8,14,27,32,36,103,108,115,116,131,160,172,183,185,190,193
