1,6,7,12,13,18,19,21,24,25,30,31,34,35,37,40,41,46,47,49,52,54,55,58,59,61,64
1,4,6,7,10,11,13,16,18,19,21,25,28,30,31,34,35,37,41,44,46,47,49,56,58,59,61
1,6,7,10,11,13,16,20,21,25,30,31,34,35,37,40,41,44,46,47,49,54,55,58,59,61,64
1,4,7,10,11,13,16,19,22,25,28,31,34,35,37,40,41,44,46,47,49,52,55,58,59,61,64
1,8,10,11,13,18,19,21,25,28,30,31,34,35,37,41,44,46,47,49,52,54,55,58,59,61,64
1,4,6,7,10,11,13,18,19,21,25,32,34,35,37,40,41,44,46,47,49,52,54,55,58,59,61
1,4,6,7,10,11,13,16,18,19,21,24,25,28,30,34,35,37,40,41,44,46,49,52,54,58,63
1,4,6,7,10,11,13,18,19,21,24,25,28,30,31,34,35,37,41,48,49,52,54,55,58,59,61
1,4,7,11,14,18,19,21,24,25,28,31,34,35,37,40,41,44,47,49,52,54,55,58,59,61,64
1,6,7,10,11,13,16,18,19,21,24,25,28,30,31,36,37,41,46,47,49,54,55,58,59,61,64
1,4,6,7,10,11,13,16,18,19,21,24,28,30,31,34,35,37,40,44,46,47,52,54,55,57,64
1,4,6,7,10,11,13,16,18,19,24,25,28,30,31,34,35,40,41,44,46,47,52,53,58,59,64
1,4,6,7,10,13,16,18,21,24,27,30,34,35,37,40,41,44,46,47,49,52,54,55,58,61,64
1,4,6,7,10,11,16,18,19,24,28,29,34,35,37,40,41,44,46,47,49,52,54,55,58,59,64
1,4,6,7,10,11,13,16,18,19,21,24,25,30,31,34,35,37,40,41,46,47,49,54,55,60,61
1,4,6,7,10,11,16,18,19,21,24,25,28,30,31,34,35,40,44,45,49,52,54,55,58,59,64
1,4,6,10,11,13,16,18,23,25,28,30,34,35,37,40,41,44,46,47,49,52,54,58,59,61,64
1,4,6,7,10,11,13,16,19,21,24,25,28,30,31,35,37,40,41,44,46,47,50,55,59,61,64
1,4,6,7,10,13,16,18,19,21,24,25,28,30,31,34,37,40,43,46,49,52,54,55,58,61,64
1,4,6,7,11,13,16,19,21,24,26,31,34,35,37,40,41,44,46,47,49,52,54,55,59,61,64
1,4,6,10,11,13,16,18,19,21,24,25,28,30,31,34,39,41,44,46,49,52,54,58,59,61,64
1,4,6,10,15,18,19,21,24,25,28,30,34,35,37,40,41,44,46,49,52,54,55,58,59,61,64
1,4,6,7,10,11,13,16,18,19,21,24,25,28,31,34,35,37,40,41,44,47,49,52,55,59,62
1,4,6,7,11,13,16,18,19,21,24,25,28,30,31,35,37,40,42,47,49,52,54,55,59,61,64
1,4,7,10,11,13,16,18,19,21,24,25,28,30,31,35,38,41,44,47,49,52,55,58,59,61,64
1,4,6,7,10,11,13,16,18,21,24,25,28,30,31,34,37,40,41,44,46,47,51,54,58,61,64
2,3,5,8,9,12,14,15,17,20,22,23,26,27,29,32,33,36,38,39,42,43,45,48,50,51,53,56,57,60,62,63
1,4,6,7,10,11,13,16,18,19,21,24,25,28,30,31,34,35,37,40,41,44,46,47,49,52,54,55,58,59,61,64
