1,2,19,37,94,211,477,511,913
3,11,31,52,64,66,123,469,584,1228
2,10,12,29,51,65,182,681,1312,1660
1,5,13,37,51,83,135,297,1042,2782
1,2,11,16,109,184,242,615,895,899
1,2,11,16,34,150,158,186,576,3517
2,9,16,17,54,82,315,475,2262,2810
2,8,23,28,44,53,64,381,466,743
4,11,13,48,51,289,320,862,1638,2895
4,6,11,25,130,176,403,411,1994,2211
1,2,11,16,34,68,172,315,1282,1922
1,5,13,18,51,83,169,297,544,1436
1,2,11,16,37,39,138,442,719,1178
1,3,5,31,43,76,92,941,1673,1896
5,10,20,22,43,64,129,133,2799,3685
2,11,31,57,109,117,177,294,694,696
1,13,14,37,47,104,318,346,711,2911
2,8,16,17,82,274,519,757,3479,3888
3,5,22,31,43,64,255,879,1170,1218
1,3,5,31,43,76,92,586,941,1461,3751
1,3,5,23,74,169,255,304,564,2665,2955
1,2,16,34,150,186,415,724,859,930,2655
2,11,16,17,34,138,278,728,921,3544,3792
1,2,23,35,109,125,303,728,2004,2222,2571
1,2,11,31,34,75,158,251,289,952,3180
2,9,10,16,17,54,300,410,882,1662,2109
1,2,11,31,35,150,278,289,804,1847,3336
3,5,20,25,64,129,133,211,2388,3132,3280
1,2,11,34,37,68,103,315,686,1347,1735
2,11,17,34,103,283,408,628,668,692,3392
5,10,20,24,37,133,297,405,1151,2349,3608
2,9,28,29,138,274,351,363,505,948,2250
2,15,25,61,64,82,90,150,315,1315,2947
4,7,25,45,56,435,563,573,780,2277,3447
1,5,13,23,104,110,304,309,537,807,3813
1,2,11,31,51,75,168,852,1280,1837,2861
2,11,17,34,37,68,103,283,668,777,1423
3,5,20,22,43,64,76,133,211,2347,3351
1,2,11,16,37,39,184,228,289,1305,2937
1,2,11,16,34,37,68,508,1042,3370,3499
1,3,5,31,76,255,515,762,941,1154,1305
1,11,16,26,41,83,150,343,556,1409,2890
3,22,23,64,67,129,139,281,641,955,3493
1,2,59,75,99,107,516,591,611,968,2873
2,10,12,19,29,64,65,125,342,2179,2996
3,11,16,37,39,127,128,434,608,1783,2470
4,7,11,17,25,41,80,320,2383,2834,3153
1,3,11,16,37,74,127,515,898,1689,3173
1,2,19,37,103,107,138,518,645,980,1722
2,10,12,38,70,228,259,1273,2336,2446,2523
2,9,10,16,17,306,714,1014,2252,2591,2783
5,10,18,25,173,245,685,1358,1792,2488,3299
1,2,11,16,37,39,186,442,719,1241,1420
1,2,11,16,68,117,172,529,930,1166,1282
1,2,23,35,109,125,304,345,942,1317,1882
2,9,10,16,54,154,236,475,971,2109,3058
2,9,16,38,53,150,186,350,413,879,2143
1,2,11,16,158,186,223,294,576,2814,2946
1,11,13,14,51,109,169,226,297,2227,3874
1,2,11,16,37,39,228,315,709,714,817
1,11,13,18,37,51,83,169,1354,2523,2999
1,2,16,34,37,138,194,228,289,691,1922
