1379,1914,2405,2731,3000,3307
408,798,1276,1652,2136,2244
489,880,1091,2117,2471,3095
215,838,1387,1613,2328,2709
543,1235,1627,3058,3075,3154
276,767,984,1077,1948,3311
788,1365,1664,2553,2647,3216
1112,1401,1564,2049,2172,2204
137,586,701,2080,2532,2833
882,1574,2157,2363,2933,3107
195,1278,1496,1953,2422,3005
604,1916,2058,2286,2388,2590
23,289,1157,1884,2678,3129
2072,2335,2453,2898,2945,3249
750,1244,1335,1400,2044,3002
129,269,2341,2728,3163,3187
12,1517,1643,2198,2557,2933
936,1066,1854,2180,2347,2657
461,749,1653,2161,2311,3160
555,609,619,1277,1990,3051
174,693,766,2144,2563,3017
227,390,1307,1769,2896,3295
298,498,706,1658,2242,2951
635,1024,1038,1546,1649,2339
315,379,757,1479,2046,2396
738,842,947,981,1017,1972
649,1727,2067,2214,2375,3032
879,1028,1207,1848,2133,3016
713,2009,2802,2840,2893,3182
555,1165,1535,1768,2015,3165
